date,day_of_week,hour,meal_period,weather,promo_active,guests,servers_on_shift,kitchen_staff,wait_time_minutes,table_turn_time,avg_ticket,revenue,customer_satisfaction,complaints
2025-06-13,Friday,12,Lunch,Sunny,1,59,11,4,28.8,88.4,18.58,1026.71,2.9,1
2025-01-07,Tuesday,17,Dinner,Sunny,0,24,4,2,14.9,85.7,22.1,540.53,3.4,1
2025-03-04,Tuesday,14,Lunch,Cloudy,0,28,4,2,32.9,84.6,18.77,648.94,2.3,2
2025-02-05,Wednesday,12,Lunch,Sunny,1,45,8,2,15.3,80.4,20.19,776.46,3.5,1
2025-06-23,Monday,21,Dinner,Rainy,1,39,7,4,25.3,86.2,20.79,584.59,3.8,0
2025-01-23,Thursday,19,Dinner,Sunny,0,43,8,3,26.8,84.0,20.42,932.27,3.8,2
2025-01-09,Thursday,11,Lunch,Sunny,0,20,4,2,20.4,73.0,17.02,250.0,3.9,0
2025-01-24,Friday,14,Lunch,Sunny,0,54,9,3,25.8,81.3,26.87,1345.67,3.1,0
2025-03-01,Saturday,21,Dinner,Sunny,1,26,4,2,21.4,81.5,20.12,250.0,3.2,2
2025-06-04,Wednesday,11,Lunch,Sunny,0,49,8,6,19.8,79.3,22.86,944.84,4.1,0
2025-05-24,Saturday,14,Lunch,Cloudy,0,52,10,5,16.3,75.4,21.03,1232.03,4.6,0
2025-06-16,Monday,21,Dinner,Cloudy,0,43,6,4,18.2,88.3,19.87,806.1,4.1,2
2025-04-18,Friday,14,Lunch,Sunny,0,32,3,3,31.8,77.1,25.47,997.6,3.0,0
2025-04-25,Friday,17,Dinner,Sunny,1,61,12,5,21.3,70.0,22.99,1279.29,4.0,2
2025-01-02,Thursday,13,Lunch,Sunny,0,39,7,3,27.8,86.0,33.94,1337.72,2.6,1
2025-06-28,Saturday,19,Dinner,Sunny,0,44,7,4,19.7,83.0,27.18,1144.6,3.3,3
2025-03-29,Saturday,17,Dinner,Sunny,0,39,7,3,26.1,89.2,19.16,954.54,3.6,4
2025-02-09,Sunday,14,Lunch,Cloudy,0,28,5,2,20.4,83.3,19.91,521.96,3.4,1
2025-03-28,Friday,12,Lunch,Sunny,0,45,7,4,22.5,69.9,20.14,1008.24,3.2,0
2025-01-24,Friday,19,Dinner,Cloudy,0,47,9,4,21.1,81.2,27.19,1183.64,3.4,0
2025-01-25,Saturday,18,Dinner,Sunny,1,36,6,3,16.0,71.9,19.75,975.82,4.1,1
2025-03-30,Sunday,17,Dinner,Rainy,1,59,10,3,28.5,76.4,22.0,1158.96,3.1,2
2025-01-12,Sunday,20,Dinner,Sunny,0,50,9,4,19.3,77.0,32.39,1680.25,4.1,0
2025-05-18,Sunday,12,Lunch,Sunny,0,35,5,3,26.2,93.4,18.05,951.71,2.5,4
2025-04-07,Monday,12,Lunch,Sunny,0,30,5,3,19.1,71.5,21.58,790.2,4.3,3
2025-05-22,Thursday,17,Dinner,Sunny,1,25,3,2,30.3,95.6,19.65,530.49,2.7,3
2025-06-10,Tuesday,18,Dinner,Sunny,1,52,8,3,40.5,75.0,18.01,757.02,2.3,1
2025-05-28,Wednesday,14,Lunch,Sunny,0,41,4,5,21.8,84.5,25.46,1247.54,3.4,2
2025-01-18,Saturday,11,Lunch,Sunny,1,55,7,3,26.7,83.5,26.04,1408.21,3.2,0
2025-06-19,Thursday,14,Lunch,Sunny,0,24,5,2,23.0,79.5,17.22,286.66,3.3,1
2025-03-16,Sunday,12,Lunch,Rainy,0,34,5,3,25.0,80.4,32.1,1152.33,3.2,3
2025-03-01,Saturday,12,Lunch,Sunny,1,71,11,6,21.7,76.8,14.55,761.53,2.8,2
2025-04-08,Tuesday,17,Dinner,Rainy,1,41,5,5,28.1,78.1,12.79,507.21,3.6,1
2025-04-27,Sunday,18,Dinner,Sunny,1,43,7,3,25.9,72.0,20.31,950.5,3.6,1
2025-02-11,Tuesday,18,Dinner,Sunny,1,31,6,2,27.6,82.1,27.49,814.85,3.5,0
2025-04-01,Tuesday,14,Lunch,Sunny,1,57,10,4,22.0,89.8,24.68,1436.78,2.7,2
2025-06-21,Saturday,17,Dinner,Rainy,1,30,4,2,24.3,63.0,21.95,758.95,3.5,0
2025-06-29,Sunday,12,Lunch,Sunny,1,33,7,2,18.9,72.5,18.3,388.79,3.7,1
2025-06-05,Thursday,13,Lunch,Cloudy,0,40,7,4,18.0,69.9,25.32,930.71,3.3,1
2025-05-17,Saturday,14,Lunch,Sunny,0,53,7,4,28.9,74.6,23.32,1464.53,2.1,1
2025-02-11,Tuesday,20,Dinner,Sunny,0,24,3,2,22.2,80.1,26.64,797.66,3.8,1
2025-04-08,Tuesday,17,Dinner,Cloudy,0,30,6,2,18.0,87.0,17.76,250.0,4.2,2
2025-06-13,Friday,21,Dinner,Sunny,0,38,5,2,21.3,78.2,19.68,788.41,3.6,0
2025-02-26,Wednesday,18,Dinner,Sunny,1,45,7,3,20.6,81.6,19.79,1133.49,4.0,0
2025-01-15,Wednesday,14,Lunch,Sunny,0,27,3,2,26.8,73.8,25.55,440.62,3.2,1
2025-01-09,Thursday,18,Dinner,Sunny,0,22,4,2,25.3,71.1,25.12,768.88,2.3,4
